name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Perry Lane,0,5587972,3,4381,,50.6640795647042,1,29,,unclassified,11,"LINESTRING (-111.9047593 33.4291809, -111.9047573 33.4291112, -111.9047535 33.4287253)",walk,1
South Perry Lane,1,5587972,4381,3,,50.6640795647042,1,29,,unclassified,11,"LINESTRING (-111.9047535 33.4287253, -111.9047573 33.4291112, -111.9047593 33.4291809)",walk,1
South Perry Lane,2,5587972,4381,4196,,57.05600361772035,1,29,,unclassified,11,"LINESTRING (-111.9047535 33.4287253, -111.9047485 33.4282122)",walk,1
South Perry Lane,3,5587972,4196,4381,,57.05600361772035,1,29,,unclassified,11,"LINESTRING (-111.9047485 33.4282122, -111.9047535 33.4287253)",walk,1
South Perry Lane,4,5587972,4196,4198,,32.970394131406984,1,29,,unclassified,11,"LINESTRING (-111.9047485 33.4282122, -111.9047456 33.4279157)",walk,1
South Perry Lane,5,5587972,4198,4196,,32.970394131406984,1,29,,unclassified,11,"LINESTRING (-111.9047456 33.4279157, -111.9047485 33.4282122)",walk,1
South Perry Lane,6,5587972,4198,4,,57.33405767651928,1,29,,unclassified,11,"LINESTRING (-111.9047456 33.4279157, -111.9047405 33.4274001)",walk,1
South Perry Lane,7,5587972,4,4198,,57.33405767651928,1,29,,unclassified,11,"LINESTRING (-111.9047405 33.4274001, -111.9047456 33.4279157)",walk,1
South Perry Lane,8,5587972,4,4199,,60.179178010234324,1,29,,unclassified,11,"LINESTRING (-111.9047405 33.4274001, -111.9047431 33.4268589)",walk,1
South Perry Lane,9,5587972,4199,4,,60.179178010234324,1,29,,unclassified,11,"LINESTRING (-111.9047431 33.4268589, -111.9047405 33.4274001)",walk,1
South Perry Lane,10,5587972,4199,4253,,2.346231305412977,1,29,,unclassified,11,"LINESTRING (-111.9047431 33.4268589, -111.9047432 33.4268378)",walk,1
South Perry Lane,11,5587972,4253,4199,,2.346231305412977,1,29,,unclassified,11,"LINESTRING (-111.9047432 33.4268378, -111.9047431 33.4268589)",walk,1
South Perry Lane,12,5587972,4253,4152,,35.86067124842601,1,29,,unclassified,11,"LINESTRING (-111.9047432 33.4268378, -111.9047448 33.4265153)",walk,1
South Perry Lane,13,5587972,4152,4253,,35.86067124842601,1,29,,unclassified,11,"LINESTRING (-111.9047448 33.4265153, -111.9047432 33.4268378)",walk,1
South Perry Lane,14,5587972,4152,4157,,44.83414115302447,1,29,,unclassified,11,"LINESTRING (-111.9047448 33.4265153, -111.9047467 33.4261121)",walk,1
South Perry Lane,15,5587972,4157,4152,,44.83414115302447,1,29,,unclassified,11,"LINESTRING (-111.9047467 33.4261121, -111.9047448 33.4265153)",walk,1
South Perry Lane,16,5587972,4157,4092,,48.01436484125656,1,29,,unclassified,11,"LINESTRING (-111.9047467 33.4261121, -111.9047488 33.4256803)",walk,1
South Perry Lane,17,5587972,4092,4157,,48.01436484125656,1,29,,unclassified,11,"LINESTRING (-111.9047488 33.4256803, -111.9047467 33.4261121)",walk,1
South Perry Lane,18,5587972,4092,5,,6.3048138120925135,1,29,,unclassified,11,"LINESTRING (-111.9047488 33.4256803, -111.9047491 33.4256236)",walk,1
South Perry Lane,19,5587972,5,4092,,6.3048138120925135,1,29,,unclassified,11,"LINESTRING (-111.9047491 33.4256236, -111.9047488 33.4256803)",walk,1
South Perry Lane,20,5587972,5,3858,,3.5380562006365452,1,29,,unclassified,11,"LINESTRING (-111.9047491 33.4256236, -111.9047504 33.4255918)",walk,1
South Perry Lane,21,5587972,3858,5,,3.5380562006365452,1,29,,unclassified,11,"LINESTRING (-111.9047504 33.4255918, -111.9047491 33.4256236)",walk,1
